id;title;description;image;image_content_type;height;width;taken;uploaded
1;ADP Mountain Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96762;29391;2021-03-13T16:47:30;2021-03-14T05:41:51
2;haptic European Unit of Account 9(E.U.A.-9);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;94646;91521;2021-03-14T12:38:12;2021-03-13T16:55:41
3;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;52434;48877;2021-03-14T12:31:38;2021-03-14T14:12:40
4;deposit Borders Cambridgeshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;10417;17002;2021-03-14T10:39:36;2021-03-14T00:08:28
5;neural compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2629;57552;2021-03-14T00:18:04;2021-03-13T19:30:51
6;Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;56390;95468;2021-03-13T22:20:39;2021-03-14T00:19:03
7;seize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84740;96062;2021-03-14T12:08:22;2021-03-13T17:05:13
8;clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;51077;92865;2021-03-14T13:31:58;2021-03-13T16:58:31
9;Djibouti Franc Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;45824;48239;2021-03-14T05:32:18;2021-03-13T20:17:51
10;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16357;73368;2021-03-14T07:07:26;2021-03-14T14:27:45
